q|n|lp|up|id
sweet potatoes|Bruce's Cut Yams, 29 oz., 4 pk.|$8.68|$0.07/oz|13906710606
flour tortillas|La Banderita 9” Homestyle Soft Taco Flour Tortillas, 24 ct.|$4.18|$0.08/oz|13581873501
hamburger buns|Member's Mark Sliced Brioche Slider Buns, 24 ct.|$6.98|$0.29/ea|13627415291
plain bagels|Member's Mark Plain Sliced Bagels, 6 ct.|$3.74|$0.62/ea|13608411315
long grain white rice|Member's Mark Long Grain White Rice, 25 lbs.|$11.48|$0.03/oz|7874220242
spaghetti|Member's Mark Spaghetti Pasta Pantry Pack, 1 lb., 6 pk.|$5.48|$0.91/lb|17863853694
pasta sauce marinara|Ragu Old World Style Traditional Pasta Sauce, 45 oz., 3 pk.|$8.98|$0.07/oz|3620001381
macaroni and cheese|Member's Mark Five Cheese Bacon Macaroni 40 oz.|$9.98|$0.25/oz|13612862176
all purpose flour|Member's Mark All Purpose Flour, 25 lbs.|$8.48|$0.34/lb|13602764464
granulated sugar|Member's Mark Granulated Sugar, 10 lbs.|$6.58|$0.04/oz|7874221690
brown sugar|Member's Mark Light Brown Sugar, 7 lbs.|$6.98|$0.06/oz|68113177798
vegetable oil|Crisco All-Vegetable Shortening, 96 oz.|$12.78|$0.13/oz|13722122342
cereal|Member's Mark Honey Almond Granola, 32 oz.|$6.56|$0.20/oz|7874228811
old fashioned oats|Quaker Old Fashioned Oats, 160 oz.|$7.98|$0.05/oz|3000041000
grape jelly|Welch's Concord Grape Jelly, 30 oz., 2 pk.|$4.48|$0.07/oz|13612962795
honey|Member's Mark Honey Vanilla Whole Milk Greek Yogurt, 48 oz.|$5.84|$0.12/oz|13890663976
black beans|Member's Mark Black Beans 12 lbs.|$9.98|$0.05/oz|7874216905
ketchup|Red Gold Tomato Ketchup Single-Serve Packets 1,000 ct.|$19.98|$0.02/ea|13913115988
yellow mustard|French's Mustard Single-Serve Packets, 5.5 g., 500 ct.|$13.24|$0.03/ea|4150085399
mayonnaise|Kraft Real Mayo Mayonnaise Single Serve Packets, 200 ct.|$11.48|$0.06/ea|2100005468
ranch dressing|Member's Mark Ranch Dressing, 1 gal.|$10.82|$0.08/oz|7874227011
tortilla chips|Member's Mark Red Quinoa Chia Corn Tortilla Chips, 16 oz.|$4.48|$0.28/oz|13591273402
potato chips|Member's Mark Wavy Potato Chips, 16 oz.|$2.98|$0.19/oz|13865869287
cola 12 pack|Coca-Cola Cherry Soda Variety Pack 12 fl. oz., 36 pk.|$18.98|$0.04/foz|19968520174
purified water 24 pack|Member's Mark Purified Bottled Water 8 fl. oz., 80 pk.|$8.98|$0.01/foz|15391557055
frozen pizza|Member's Mark Mini Pizza Bagels, Cheese & Pepperoni 72 ct.|$9.98|$0.14/ea|13877852786
vanilla ice cream|Wyler's Authentic Italian Ices, 2 oz., 96 pk.|$11.98|$0.12/ea|13884954660
frozen mixed vegetables|Member's Mark Broccoli Normandy 4 lbs.|$6.98|$1.75/lb|13894920187
frozen french fries|Member's Mark Southern Style Waffle Fries, Frozen, 4 lbs.|$6.98|$1.75/lb|13566916334
frozen chicken nuggets|Member's Mark Rotisserie Chicken Bites, 2 lbs.|$11.48|$5.74/lb|13613604194
paper towels|Kleenex Disposable Paper Hand Towels, 6 boxes, 60 towels/box|$14.98|$0.04/ea|19934922877
toilet paper|Marathon 2-Roll Jumbo Toilet Paper Dispenser, Smoke|$23.44|$23.44/ea|13567466088
dish soap|Palmolive Professional Dishwashing Liquid, Original Scent 5 gallon|$71.48|$0.11/oz|13848516188
dishwasher detergent pacs|Member's Mark Platinum Clean Automatic Dishwasher Pacs, Fresh Clean, 110 ct.|$14.98|$0.14/ea|18766722402
13 gallon trash bags|Glad Small Twist-Tie White Trash Bags, Fresh Clean Scent with Febreze Freshness, 4 gal., 156 ct.|$14.68|$0.09/ea|13903505076
aluminum foil|Member's Mark Foil Sheets, 9" x 10.75" (500 ct.)|$14.34|$0.03/ea|7874226433
arm and hammer detergent|Member's Mark Laundry Detergent Power Pacs, Blooming Breeze, 130 ct.|$19.48|$0.15/ea|13632305107
bartlett pears|Blueberries, 18 oz.|$4.67|$0.26/oz|13790673257
mango|Member's Mark Dried Mango, 24 oz.|$6.98|$0.29/oz|15004019875
whole pineapple|Blueberries, 18 oz.|$4.67|$0.26/oz|13790673257
fresh raspberries|Blueberries, 18 oz.|$4.67|$0.26/oz|13790673257
fresh blackberries|Blueberries, 18 oz.|$4.67|$0.26/oz|13790673257
cantaloupe|Blueberries, 18 oz.|$4.67|$0.26/oz|13790673257
cauliflower head|Flavor Bombs Cherry Tomatoes On The Vine, 1.5 lbs.|$7.47|$4.98/lb|13599513403
asparagus|Asparagus, 2 lbs.|$8.86|$4.43/lb|13885761821
brussels sprouts|Member's Mark Brussels Sprouts, priced per pound|$8.96|$5.97/lb|13624255190
green cabbage|Member's Mark Caesar Salad, priced per pound|$10.30|$4.48/lb|15223017145
jalapeno peppers|Member's Mark Jalapeno and Garlic Stuffed Olives, 20.5 oz.|$8.98|$0.44/oz|13599413507
cilantro|Member's Mark Fresh Cilantro Pico De Gallo Style Salsa, 48 oz.|$6.28|$0.13/oz|13589450793
red potatoes|Idahoan Baby Reds Value Pack Mashed Potatoes, 4 oz., 9 pk.|$9.68|$0.26/oz|2970052138
ribeye steak|Member's Mark 80/20 Ground Beef Chuck Sliders, priced per pound|$16.99|$5.86/lb|19622453095
beef chuck roast|Member's Mark 80/20 Ground Beef Chuck Sliders, priced per pound|$16.99|$5.86/lb|19622453095
pork shoulder butt roast|Member's Mark Bone In Pork Boston Butt, Vacuum Pack, priced per pound|$17.80|$1.98/lb|13743867920
pork baby back ribs|Member's Mark Extra Meaty Baby Back Pork Ribs 3 lbs.|$16.27|$5.42/lb|13877913695
ground pork|Member's Mark 80/20 Ground Pork, priced per pound|$10.61|$2.98/lb|13709709989
italian sausage|Member's Mark High Protein Penne Pasta with Italian Sausage, priced per pound|$17.15|$5.12/lb|18741168065
bratwurst|Ball Park Tailgaters Crustini Buns 32 oz., 12 ct.|$4.78|$0.15/oz|13596208866
chicken wings|Member's Mark Bone-In Chicken Wings, priced per pound|$14.68|$2.77/lb|13610618777
rotisserie chicken|Member's Mark Garlic Butter With Parmesan Cheese & Basil,10 oz.|$6.44|$0.64/oz|16343160365
tilapia fillets|Member's Mark Farm Raised Tilapia Fillet, priced per pound|$19.24|$7.26/lb|13882952248
canned chunk chicken breast|Member's Mark Premium Chunk Chicken Breast, 12.5 oz., 6 ct.|$12.56|$0.17/oz|7874219619
sliced pepperoni|Member's Mark Sliced Pepperoni 16 oz., 2 pk.|$9.44|$0.29/oz|15238964676
sliced deli turkey breast|Member's Mark Oven Roasted Turkey Breast, Sliced 1 lb. 6 oz.|$8.92|$0.41/oz|13890253215
turkey bacon|Johnsonville Original Pork Breakfast Sausage Links, 30 ct.|$6.48|$0.22/ea|15028308061
heavy whipping cream|Member's Mark Heavy Whipping Cream, 32 fl. oz.|$3.72|$0.12/foz|13607413640
half and half|Coffee mate Half & Half Liquid Creamer Singles, 0.3 fl. oz., 180 ct.|$12.58|$0.07/ea|19271515898
unsweetened almond milk|Silk Unsweetened Original Almond, 64 fl. oz., 3 pk.|$8.83|$0.05/foz|13901607733
mozzarella string cheese|Member's Mark Light String Cheese 36 ct.|$7.27|$0.20/ea|13554501485
feta cheese crumbled|Athenos Crumbled Traditional Feta Cheese (24 oz.)|$7.28|$0.30/oz|13874852267
coffee creamer|N'Joy Non-Dairy Powdered Creamer Packets 1,000 ct.|$18.98|$0.02/ea|8663192214
dinner rolls|Member's Mark Yeast Dinner Rolls, 24 ct.|$3.98|$0.17/ea|13748208978
english muffins|Pillsbury Cinnamon Rolls with Cinnabon Icing 13 oz., 4 pk.|$7.33|$0.14/oz|13599663121
croissants|Member's Mark Cocktail Croissants, Bulk Wholesale Case, 260 ct.|$55.42|$0.21/ea|13876358669
pancake syrup|Mrs. Butterworths Original Syrup, 36 oz., 2 pk.|$6.78|$0.09/oz|13650612691
semi sweet chocolate chips|Nestle Toll House Semi-Sweet Chocolate Chips, 72 oz.|$15.98|$0.22/oz|2800004396
powdered sugar|Member's Mark Powdered Sugar, 7 lbs.|$6.98|$0.06/oz|17501364333
cooking spray|Carrington Farms Liquid Coconut Cooking Oil, 40 oz.|$16.98|$0.42/oz|17516217881
apple cider vinegar|Nature's Truth Apple Cider Vinegar 600 mg Extra Strength Capsules, 240 ct.|$14.97|$0.06/ea|84009311053
barbecue sauce|Sweet Baby Ray's Original Barbecue Sauce, 1 gal.|$11.98|$0.07/oz|13599611407
dill pickle spears|Member's Mark Kosher Dill Pickle Chips, 24 fl. oz., 2 pk.|$3.98|$0.08/oz|19044523111
refried beans|Ranch Style Beans, Canned Beans, 15 oz.|$8.18|$0.07/oz|4690000104
chili with beans can|Member's Mark Beef Base, 16 oz.|$5.98|$0.37/oz|13607913939
chicken noodle soup|Nissin Cup Noodles, Chicken Flavor 2.25 oz., 24 ct.|$10.98|$0.46/ea|13881768901
tomato soup|Member's Mark Tomato Basil Soup 32 oz. tubs, 2 pk.|$9.98|$0.16/oz|13844666143
cream of mushroom soup|Prego Traditional Italian Sauce, 45 oz., 3 pk.|$8.98|$0.07/oz|5100027302
brown rice|Mahatma Brown Rice, 5 lb.|$4.98|$0.06/oz|19354152866
egg noodles|Barilla Pasta Thin Spaghetti 1 lb., 6 pk.|$8.52|$0.09/oz|7680800646
alfredo sauce|Member's Mark Chicken Alfredo, priced per pound|$14.33|$3.98/lb|13589509650
hummus|Member's Mark Roasted Red Pepper Hummus, 32 oz.|$4.48|$0.14/oz|13585769053
graham crackers|Honey Maid Honey Graham Crackers, 14.4 oz., 4 pk.|$8.98|$0.16/oz|4400031611
applesauce|Member's Mark Mandarin Oranges 4 oz., 24 ct.|$11.48|$0.12/oz|19396806665
dry roasted peanuts|Member's Mark Extra Large Virginia Peanuts, 34.5 oz.|$5.98|$0.17/oz|7874232108
whole almonds|Member's Mark Whole Natural Almonds, 48 oz.|$13.78|$0.29/oz|18264466135
raisins|Member's Mark Dried Mango, 24 oz.|$6.98|$0.29/oz|15004019875
mixed nuts|Member's Mark Triple Berry Nut Trail Mix, 40 oz.|$12.98|$0.32/oz|7874222665
saltine crackers|Premium Original Saltine Crackers, 4 oz., 12 pk.|$7.44|$0.15/oz|15361324141
pretzel twists|Utz Mini Twist Pretzels, 60 oz.|$8.48|$0.14/oz|4178002240
microwave popcorn|Orville Redenbacher's Movie Butter Microwave Popcorn, Mini Bags, 1.5 oz., 36 pk.|$9.48|$0.26/ea|13627121756
chocolate chip cookies|Members Mark Jumbo Gourmet Chocolate Chip and Chunk Cookie Dough, 16 oz., 4pk|$12.24|$0.19/oz|16428807684
chewy granola bars|Quaker Chewy Granola Bar, Variety Pack, 60 ct.|$11.48|$0.19/ea|13621570154
protein bars|Nature Valley Sweet & Salty Nut Peanut Granola Bars, 36 ct.|$11.48|$0.32/ea|1600010212
fruit snacks|Member's Mark Dried Mango, 24 oz.|$6.98|$0.29/oz|15004019875
granola|Member's Mark Honey Almond Granola, 32 oz.|$6.56|$0.20/oz|7874228811
beef jerky|Member's Mark Beef Steak Strips, 12 oz.|$11.98|$1.00/oz|7874222487
apple juice|SYNERGY The Real Kombucha, Honeycrisp Apple, 16 fl. oz., 6 pk.|$14.78|$2.46/ea|16001551431
cranberry juice|Ocean Spray Cranberry Juice 96 fl. oz., 2 pk.|$8.28|$0.04/foz|13614260080
lemonade|True Lemon Crystallized Lemon Packets, 100 ct.|$8.77|$0.09/ea|13732913910
gatorade|Gatorade Frost Thirst Quencher Powder, Glacier Freeze 76.5 oz.|$15.98|$0.21/oz|13546954355
energy drink|V8 Energy Zero Sugar Variety Pack, 8 fl. oz., 24 pk.|$14.98|$0.08/oz|19924252934
sparkling water|Truckload Pure Life Purified Bottled Water, 16.9 fl. oz., 40 pk., 912 cases|$4,104.00|$0.11/ea|17335409001
coffee k cups|Member's Mark Classic Coffee Pods, Variety Pack, 100 ct.|$32.98|$0.33/ea|17618918401
frozen waffles|Member's Mark Cinnamon French Toast Sticks, Frozen, 48 oz.|$8.48|$0.18/oz|13629760892
frozen broccoli florets|Member's Mark Steamable Broccoli Florets 1 lb., 4 pk.|$6.36|$1.59/lb|13585719539
frozen sweet corn|Member's Mark Super Sweet Corn On The Cob, 7 lbs.|$8.27|$1.18/lb|13591323037
frozen mixed berries|Member's Mark Triple Berry Blend, Frozen, 64 oz.|$10.46|$0.16/oz|13592517231
frozen breakfast sandwiches|Member's Mark Uncured Ham & Swiss Cheese Croissant with Seasoning, Frozen, 8 ct.|$12.36|$1.54/ea|17267568972
frozen meatballs|Member's Mark Italian Style Beef Meatballs, Frozen 6 lbs.|$22.97|$3.83/lb|13594874941
frozen hash browns|Idahoan Real Premium Mashed Potatoes, 3.25 lbs.|$8.78|$0.17/oz|2970052490
dryer sheets|Member's Mark Fabric Softener Dryer Sheets, Fresh Scent, 480 ct.|$9.92|$0.02/ea|15587957321
laundry detergent pods|Member's Mark Laundry Detergent Power Pacs, Blooming Breeze, 130 ct.|$19.48|$0.15/ea|13632305107
paper plates|Member's Mark Translucent Portion Cups 2 fl. oz., 2500 ct.|$42.98|$0.02/ea|7874204431
plastic wrap|Member's Mark Foil Sheets, 9" x 10.75" (500 ct.)|$14.34|$0.03/ea|7874226433
disinfecting wipes|Member's Mark Disinfecting Wipes, Variety Pack, 4 pk., 312 ct.|$10.98|$0.04/ea|13610418712
aa batteries|Member's Mark AA Alkaline Batteries, 66-Pack|$18.48|$0.28/ea|18075258612
toothpaste|Colgate Cavity Protection Toothpaste with Fluoride, Regular Flavor, 8 oz., 5 pk.|$8.98|$0.22/oz|13891868704
mouthwash|Listerine Cool Mint PocketPaks, 72-Strip Pack, 6 pk.|$21.98|$3.66/ea|15242107157
shampoo|MONDAY Haircare ORIGINAL Dry Shampoo Trio, 5.1 oz., 3 pk.|$14.98|$0.98/oz|18669451655
body wash|Member's Mark Adult Washcloths, 240 ct.|$11.76|$0.05/ea|13929809533
deodorant|Fresh Step, Litter Box Deodorizing Crystals, Fresh Scent, 2 pk., 70 oz.|$19.94|$0.14/oz|15195501084
disposable razors|BIC Sensitive Men's Disposable Razor, Single Blade, 52 ct.|$9.47|$0.18/ea|13938967950
body lotion|Vaseline Original Petroleum Jelly, 2 pk., 13 oz.|$9.98|$0.38/oz|13965557187
facial tissues|Member's Mark Ultra Soft 3-Ply Facial Tissues, 12 Cube Boxes, 80 tissues/box|$13.98|$0.01/ea|7874205758
diapers size 4|Luvs Pro Level Leak Protection Diapers, Sizes 1-8|$42.48|$0.14/ea|13599063882
baby wipes|Member's Mark Premium Baby Wipes, Fragrance Free, 12 pk., 1152 Wipes|$21.74|$0.02/ea|14182074190
dry dog food|Member's Mark™ Large Breed Dog Beef + Barley Recipe Dry Dog Food, 44 lbs.|$36.98|$0.84/lb|16556953823
dry cat food|Member's Mark™ Prime Feast with Chicken + Salmon Dry Cat Food, 25 lbs.|$26.98|$1.08/lb|16530871032
clumping cat litter|Purina Tidy Cats Litter, Natural Clay Product With Deodorizing System, 52 lb. Bag|$12.42|$0.24/lb|13869267279
almonds|Member's Mark Honey Almond Granola, 32 oz.|$6.56|$0.20/oz|7874228811
cashews|Member's Mark Roasted Whole Cashews with Sea Salt, 33 oz.|$13.98|$0.42/oz|7874244444
trail mix|Member's Mark Triple Berry Nut Trail Mix, 40 oz.|$12.98|$0.32/oz|7874222665
salsa|Member's Mark Fresh Pico De Gallo Style Salsa, 48 oz.|$6.28|$0.13/oz|13602068120
