# BLIND verification worklist for the 2026-07-30 board. Fill in verdict/found_product/found_price.
# verdict must be one of: ok | wrong-product | wrong-price | wrong-size | missing | unverifiable
#   ok            the board names the cheapest qualifying product at this store and its price is right
#   wrong-product the product on the board is not this commodity at all (the cat-food-as-salmon class)
#   wrong-price   right product, wrong number
#   wrong-size    right product, but the size/pack basis makes the per-unit wrong
#   missing       the store does not sell this commodity at all
#   unverifiable  bot wall, sign-in wall, or the store site would not answer. NOT a defect and NOT a pass;
#                 these are dropped from the denominator and reported separately.
# DO NOT open out\verification-sample-2026-07-30.json until every verdict is filled in.
ticket,seq,commodity,unit,store,verdict,found_product,found_price,note
"05D8506BD4",1,"Vanilla Extract","floz","Baker's",,,,
"91B0BBA2A1",2,"Cherry / Grape Tomatoes","oz","Sam's Club",,,,
"D93AE120C4",3,"Crackers (saltine/buttery)","oz","Sam's Club",,,,
"CFF543F7D1",4,"Drain Cleaner","floz","Walmart",,,,
"1077FB5FCB",5,"Apples","lb","Sam's Club",,,,
"71692812D8",6,"Apple Juice","floz","Walmart",,,,
"7FEF0E6524",7,"Chili Crisp / Chili Oil","oz","Baker's",,,,
"627B045057",8,"Instant Coffee","oz","Baker's",,,,
"BDE0367B54",9,"Collard Greens (bunch)","each","Hy-Vee",,,,
"BD89255C58",10,"Iced Tea (bottled/gallon)","floz","Baker's",,,,
"638AEDC91C",11,"Fresh Rosemary","oz","Aldi",,,,
"D0A4910160",12,"Protein Bars","each","Sam's Club",,,,
"4A4319EAB4",13,"Rotisserie Chicken","each","Fareway",,,,
"3B91E2EB2D",14,"Ranch Seasoning Mix (packet)","oz","Family Fare",,,,
"77568C396F",15,"Turkey (deli / sliced)","oz","Hy-Vee",,,,
"3B6C30FA5B",16,"Canned Beef Stew","oz","Walmart",,,,
"5DAAD80676",17,"Leeks","each","Hy-Vee",,,,
"9621340CAD",18,"Granola","oz","Walmart",,,,
"F1CDEC95E3",19,"Tartar Sauce","floz","Walmart",,,,
"EEA573A1FE",20,"Bleach","floz","Baker's",,,,
"86009FFE94",21,"Frozen Meatballs","oz","Baker's",,,,
"61A2810867",22,"Spring Mix Salad Greens","oz","Family Fare",,,,
"28C747E9DF",23,"Mirin (Sweet Cooking Wine)","floz","Walmart",,,,
"F52B96211A",24,"Fish Sticks (frozen)","oz","Baker's",,,,
"185DED6FDE",25,"Pizza Sauce","oz","Sam's Club",,,,
"439F100FB2",26,"Cream Cheese","oz","Baker's",,,,
"EA5997E497",27,"Oats / Oatmeal","oz","Hy-Vee",,,,
"735A30C0A9",28,"Breakfast Cereal","oz","Sam's Club",,,,
"4973F0E7D8",29,"Clementines / Mandarins","lb","Fareway",,,,
"50ABB39968",30,"Vegetable / Vegetable Beef Soup (canned)","oz","Hy-Vee",,,,
"F64AAB36F0",31,"Ground Cumin","oz","Aldi",,,,
"AE001C9B4F",32,"Fruit Cups","each","Family Fare",,,,
"07B075CFF0",33,"Beef Broth / Stock","floz","Aldi",,,,
"5E77EC395A",34,"Smoked Turkey Sausage","lb","Hy-Vee",,,,
"66F9709E71",35,"Brown Rice","lb","Walmart",,,,
"B1B9A1233E",36,"Honey","oz","Sam's Club",,,,
"27C1D1E063",37,"Chocolate Chips","oz","Sam's Club",,,,
"6406395686",38,"Dinner Rolls","each","Sam's Club",,,,
"79570B2EE7",39,"Ribeye Steak","lb","Aldi",,,,
"E1E8F4D1AC",40,"Italian Sausage","lb","Aldi",,,,
"8A7585A9C2",41,"Chickpeas / Garbanzo Beans (canned)","oz","Walmart",,,,
"202D9B734B",42,"Coffee (ground/beans)","oz","Walmart",,,,
"3DEB076CDE",43,"Baking Powder","oz","Fareway",,,,
"978CA3CD24",44,"Tea Bags","each","Sam's Club",,,,
"6DC42A1890",45,"Frozen Broccoli","oz","Fareway",,,,
"8EC4B3A373",46,"Cream Cheese","oz","Walmart",,,,
"022010B4A6",47,"Ground Turkey","lb","Baker's",,,,
"C33B1F8C8E",48,"Pork Tenderloin","lb","Sam's Club",,,,
"2444720CDF",49,"Sweet Corn (ear)","each","Baker's",,,,
"295508E344",50,"Salmon (fillets)","lb","Family Fare",,,,
"748163C552",51,"Ham (deli / sliced)","oz","Sam's Club",,,,
"507732D540",52,"Frozen Burritos","each","Aldi",,,,
"A83A446960",53,"Bacon","lb","Aldi",,,,
"E094E08253",54,"Hand Sanitizer","floz","Sam's Club",,,,
"AFCEA3A6FF",55,"Pork Tenderloin","lb","Family Fare",,,,
"36D6B6CA29",56,"Coriander (ground)","oz","Fareway",,,,
"ECB028E649",57,"Shaving Cream","oz","Walmart",,,,
"715D115C61",58,"Fresh Thyme","oz","Aldi",,,,
"70E768116A",59,"Fabric Softener (liquid)","floz","Family Fare",,,,
"AB71F08687",60,"Bell Peppers","each","Sam's Club",,,,
"99ED6F7754",61,"Ramen Noodles","each","Sam's Club",,,,
"3BD3E5BC30",62,"Bar Soap","each","Walmart",,,,
"49E13B3786",63,"Disinfectant Spray","oz","Baker's",,,,
"9094A07C29",64,"Snow / Sugar Snap Peas (fresh)","oz","Hy-Vee",,,,
"1858D7B62B",65,"Baby Food (jars/pouches)","oz","Family Fare",,,,
"EB33096CEB",66,"Lemonade","floz","Sam's Club",,,,
"8EA9D280AC",67,"Peanuts","oz","Sam's Club",,,,
"1F872A862C",68,"Lettuce (head)","each","Sam's Club",,,,
"14D4ED26C7",69,"Soy Sauce","floz","Aldi",,,,
"5C4201C1F5",70,"Canned Mandarin Oranges","oz","Aldi",,,,
"03CD055D3E",71,"White Rice","lb","Sam's Club",,,,
"623F2F6262",72,"Oranges","lb","Aldi",,,,
"DD671FE9A1",73,"Grape Juice","floz","Family Fare",,,,
"EE0DA29216",74,"Pudding Cups","each","Sam's Club",,,,
"C2F4D97B05",75,"Yellow Mustard","oz","Aldi",,,,
"FD99169D0D",76,"Pasta Sauce (marinara)","oz","Hy-Vee",,,,
"AFF66DAA52",77,"Air Freshener","oz","Fareway",,,,
"16BE4A3290",78,"Popsicles / Ice Pops","each","Family Fare",,,,
"3A2E992480",79,"Red Pepper Flakes","oz","Walmart",,,,
"E6598F0BDE",80,"Pizza Sauce","oz","Fareway",,,,
"2D809CD4BC",81,"Croissants","each","Hy-Vee",,,,
"61CC87BCC4",82,"Baking Soda","oz","Sam's Club",,,,
"57D747943B",83,"Peaches","lb","Aldi",,,,
"9752079DB5",84,"Meat Marinade (bottled)","floz","Fareway",,,,
"FCA42BB45B",85,"Dog Food (dry)","lb","Fareway",,,,
"B2C424B940",86,"Italian Dressing","floz","Fareway",,,,
"C235173FA0",87,"Cheese Crackers","oz","Sam's Club",,,,
"E465CEE09D",88,"Buttermilk","floz","Walmart",,,,
"2624CD9A98",89,"Shredded / Block Cheese","oz","Sam's Club",,,,
"88DAA71AFE",90,"Hand Soap (liquid)","floz","Aldi",,,,
"84EBE2ABBB",91,"Canned Corn","oz","Hy-Vee",,,,
