# BLIND verification worklist for the 2026-08-05 board. Fill in verdict/found_product/found_price.
# verdict must be one of: ok | wrong-product | wrong-price | wrong-size | missing | unverifiable
#   ok            the board names the cheapest qualifying product at this store and its price is right
#   wrong-product the product on the board is not this commodity at all (the cat-food-as-salmon class)
#   wrong-price   right product, wrong number
#   wrong-size    right product, but the size/pack basis makes the per-unit wrong
#   missing       the store does not sell this commodity at all
#   unverifiable  bot wall, sign-in wall, or the store site would not answer. NOT a defect and NOT a pass;
#                 these are dropped from the denominator and reported separately.
# DO NOT open out\verification-sample-2026-08-05.json until every verdict is filled in.
ticket,seq,commodity,unit,store,verdict,found_product,found_price,note
"AF256636EA",1,"Cheese Tortellini","oz","Sam's Club",,,,
"1596B9EF74",2,"Hot Cocoa Mix","each","Baker's",,,,
"B3883B5305",3,"Toaster Pastries","each","Fareway",,,,
"D821DC4F2F",4,"Jalapeno Peppers","lb","Walmart",,,,
"8F482A9CD8",5,"Balsamic Vinegar","floz","Aldi",,,,
"A68BE13E59",6,"Muffins (bakery)","each","Family Fare",,,,
"F627425BD7",7,"Jarred / Canned Gravy","oz","Sam's Club",,,,
"9E4CFD988B",8,"Blue Cheese Dressing","floz","Baker's",,,,
"ADB272D403",9,"Canned Pineapple","oz","Fareway",,,,
"A32A107BEF",10,"Strawberries","oz","Baker's",,,,
"4712D0F02D",11,"Taco Sauce","oz","Fareway",,,,
"A6E36C2D0D",12,"Japanese Curry Roux","oz","Walmart",,,,
"DA2566BBFB",13,"Baby Formula","oz","Family Fare",,,,
"6C7FFD39A4",14,"Cajun / Creole Seasoning","oz","Baker's",,,,
"E86365CF81",15,"Bleach","floz","Baker's",,,,
"7C1144B650",16,"Corn Dogs (frozen)","each","Fareway",,,,
"565B9B5493",17,"Paprika","oz","Hy-Vee",,,,
"988BCFA5B1",18,"Yogurt","oz","Sam's Club",,,,
"F16EA35892",19,"Canned Fruit Cocktail","oz","Walmart",,,,
"102C8201DA",20,"Canned Black Beans","oz","Walmart",,,,
"22BE64FD6B",21,"Evaporated Milk","oz","Walmart",,,,
"A57EF81D10",22,"Peaches","lb","Aldi",,,,
"E0EE54E602",23,"Dog Treats","oz","Walmart",,,,
"42C09A982F",24,"Red Potatoes","lb","Walmart",,,,
