order,replicate,widthAsked,widthDispatch,widthReached,wallHarnessS,wallGateS,workS,gates,passed,failed,rc,othersStart,othersEnd,cpuStart,cpuEnd,headSha,atUtc
1,1,1,1,1,863.5,860,855,373,373,0,0,0,1,9,19,ff5573014eac639ec82a8b661e4b6a4d26c2956e,2026-09-12T14:46:20.2383023+00:00
1,1,1,1,1,728.3,725,718,373,373,0,0,0,2,43,100,7c6dbe3590b6b76190106d99b86ea45773726411,2026-09-12T15:04:14.5927444+00:00
1,1,1,1,1,678.3,675,670,373,373,0,0,0,0,25,43,7c6dbe3590b6b76190106d99b86ea45773726411,2026-09-12T15:16:33.1983549+00:00
2,1,5,5,5,194.8,191,879,373,373,0,0,0,0,15,46,7c6dbe3590b6b76190106d99b86ea45773726411,2026-09-12T15:19:52.7744944+00:00
1,1,5,5,5,220.5,217,1006,373,373,0,0,0,0,26,32,7c6dbe3590b6b76190106d99b86ea45773726411,2026-09-12T15:26:25.2718780+00:00
2,1,10,10,10,117.3,114,913,373,373,0,0,0,0,29,12,7c6dbe3590b6b76190106d99b86ea45773726411,2026-09-12T15:28:27.6602423+00:00
1,1,5,5,5,176.5,173,786,373,373,0,0,0,0,24,52,7c6dbe3590b6b76190106d99b86ea45773726411,2026-09-12T15:31:34.0925606+00:00
2,1,10,10,10,113.9,111,906,373,373,0,0,0,0,25,21,7c6dbe3590b6b76190106d99b86ea45773726411,2026-09-12T15:33:33.3069304+00:00
